mcp,tool_name,summary,full_description
mirror_vanisher_dev,list_mirror_vanishers,"List and enumerate all directories that are simultaneously mirrors (synced to sandbox) and vanishers (loaded into LLM context). Use this when you need to discover available projects, see what codebases are ready for development operations, check which directories are properly configured for mirror+vanisher workflows, or find projects to work on. Returns directory names, paths, file counts, and synchronization status for each mirror+vanisher combination.","List and enumerate all directories that are simultaneously mirrors (synced to sandbox) and vanishers (loaded into LLM context). Use this when you need to discover available projects, see what codebases are ready for development operations, check which directories are properly configured for mirror+vanisher workflows, or find projects to work on. Returns directory names, paths, file counts, and synchronization status for each mirror+vanisher combination."
mirror_vanisher_dev,verify_mirror_vanisher,"Verify and validate that a specific directory is correctly configured as both a mirror (synced to sandbox) and a vanisher (loaded into LLM context). Use this before starting any development work to confirm proper setup, check if a directory meets mirror+vanisher requirements, troubleshoot configuration issues, or validate that both mirroring and vanisher loading are active. Provides detailed status including mirror existence, vanisher loading state, directory type validation, and specific reason","Verify and validate that a specific directory is correctly configured as both a mirror (synced to sandbox) and a vanisher (loaded into LLM context). Use this before starting any development work to confirm proper setup, check if a directory meets mirror+vanisher requirements, troubleshoot configuration issues, or validate that both mirroring and vanisher loading are active. Provides detailed status including mirror existence, vanisher loading state, directory type validation, and specific reasons for any failures."
mirror_vanisher_dev,explore_structure,"Explore and visualize the hierarchical directory structure and file organization of a codebase using a tree view representation. Use this when you need to understand how a project is organized, see the folder hierarchy, identify directory patterns, examine file layout, navigate large codebases, or get an overview of project structure before making changes. Generates a recursive tree showing directories and files up to a configurable depth, filtering out common ignored directories like node_modul","Explore and visualize the hierarchical directory structure and file organization of a codebase using a tree view representation. Use this when you need to understand how a project is organized, see the folder hierarchy, identify directory patterns, examine file layout, navigate large codebases, or get an overview of project structure before making changes. Generates a recursive tree showing directories and files up to a configurable depth, filtering out common ignored directories like node_modules, __pycache__, .git, and hidden files. Returns tree structure with file counts and directory statistics."
mirror_vanisher_dev,detect_tech_stack,"Detect and identify the technology stack, programming languages, frameworks, and build tools used in a codebase. Use this when you need to understand what technologies a project uses, identify the primary programming language, discover frameworks and libraries, find build tools and package managers, assess technology choices, or prepare for development work. Analyzes file extensions to detect languages (Python, JavaScript, TypeScript, Java, Go, Rust, etc.), identifies configuration files (packag","Detect and identify the technology stack, programming languages, frameworks, and build tools used in a codebase. Use this when you need to understand what technologies a project uses, identify the primary programming language, discover frameworks and libraries, find build tools and package managers, assess technology choices, or prepare for development work. Analyzes file extensions to detect languages (Python, JavaScript, TypeScript, Java, Go, Rust, etc.), identifies configuration files (package.json, requirements.txt, Cargo.toml, pom.xml, etc.) to detect frameworks (Node.js, Flask, React, etc.), and discovers build tools (Make, Docker, Maven, Gradle, etc.). Returns comprehensive report with language breakdown, framework list, build tool identification, and configuration file locations."
mirror_vanisher_dev,find_entrypoints,"Find and locate main entrypoints, executable files, and program starting points in a codebase. Use this when you need to discover how to run the application, find the main files that start execution, locate executable scripts, identify program entry points, understand application startup, or find files with main() functions. Searches for common entrypoint filenames (main.py, app.py, index.js, main.go, etc.), detects Python files with __main__ blocks, identifies executable files with execution pe","Find and locate main entrypoints, executable files, and program starting points in a codebase. Use this when you need to discover how to run the application, find the main files that start execution, locate executable scripts, identify program entry points, understand application startup, or find files with main() functions. Searches for common entrypoint filenames (main.py, app.py, index.js, main.go, etc.), detects Python files with __main__ blocks, identifies executable files with execution permissions, and categorizes entrypoints by type (named entrypoint, Python main block, executable script, etc.). Returns list of entrypoints with file paths, types, and execution information."
mirror_vanisher_dev,full_exploration,"Perform comprehensive and complete codebase exploration by running all exploration operations together: directory structure visualization, technology stack detection, and entrypoint discovery. Use this as the first step when starting work on any unfamiliar codebase, when you need a complete overview before implementing features, to understand a project thoroughly before refactoring, when analyzing a new codebase for the first time, or when you want all exploration data in one operation. Executes","Perform comprehensive and complete codebase exploration by running all exploration operations together: directory structure visualization, technology stack detection, and entrypoint discovery. Use this as the first step when starting work on any unfamiliar codebase, when you need a complete overview before implementing features, to understand a project thoroughly before refactoring, when analyzing a new codebase for the first time, or when you want all exploration data in one operation. Executes explore_structure, detect_tech_stack, and find_entrypoints sequentially, combining their results into a unified exploration report. Returns comprehensive analysis including tree structure, file/directory statistics, primary language, complete language breakdown, frameworks, build tools, all entrypoints, and a summary with key metrics. This is the recommended starting point for any development workflow."
mirror_vanisher_dev,analyze_architecture,"Analyze and identify architectural patterns, software design approaches, and structural organization in a codebase. Use this when you need to understand the architecture style (MVC, microservices, layered, clean/hexagonal, feature-based), plan refactoring to align with architectural patterns, assess code organization quality, determine if the project follows architectural best practices, or understand system design before making significant changes. Detects common patterns by analyzing directory","Analyze and identify architectural patterns, software design approaches, and structural organization in a codebase. Use this when you need to understand the architecture style (MVC, microservices, layered, clean/hexagonal, feature-based), plan refactoring to align with architectural patterns, assess code organization quality, determine if the project follows architectural best practices, or understand system design before making significant changes. Detects common patterns by analyzing directory structure (models/views/controllers for MVC, services for microservices, domain/application/infrastructure for Clean Architecture), identifies layered architecture (services, repositories, DAO, models), recognizes feature-based organization, and checks for tests, documentation, configuration, and scripts directories. Returns architecture type, detected patterns, directory list, and detailed analysis of project organization."
mirror_vanisher_dev,map_dependencies,"Map and analyze dependencies, imports, and relationships between modules, files, and components in a codebase. Use this when you need to understand code coupling, identify which files depend on which, analyze module relationships, find circular dependencies, plan refactoring to reduce coupling, understand data flow between components, or create dependency graphs. Scans Python files for import statements (from/import), extracts module names and dependencies, builds a comprehensive dependency map ","Map and analyze dependencies, imports, and relationships between modules, files, and components in a codebase. Use this when you need to understand code coupling, identify which files depend on which, analyze module relationships, find circular dependencies, plan refactoring to reduce coupling, understand data flow between components, or create dependency graphs. Scans Python files for import statements (from/import), extracts module names and dependencies, builds a comprehensive dependency map showing what each file imports, and calculates dependency statistics (total dependencies per file, overall dependency count). Returns detailed dependency map with file-to-imports relationships, file count, and total dependency metrics. Useful for understanding codebase interconnections and planning modular changes."
mirror_vanisher_dev,identify_patterns,"Identify and recognize software design patterns used in the codebase such as Singleton, Factory, Strategy, Observer, Decorator, and other Gang of Four patterns. Use this when you need to understand what design patterns are implemented, assess code design quality, find examples of specific patterns, plan refactoring to use appropriate patterns, understand architectural decisions, or learn from existing pattern implementations. Searches for pattern indicators in file names (singleton, factory, str","Identify and recognize software design patterns used in the codebase such as Singleton, Factory, Strategy, Observer, Decorator, and other Gang of Four patterns. Use this when you need to understand what design patterns are implemented, assess code design quality, find examples of specific patterns, plan refactoring to use appropriate patterns, understand architectural decisions, or learn from existing pattern implementations. Searches for pattern indicators in file names (singleton, factory, strategy, observer, decorator, listener, etc.), identifies potential pattern usage, and catalogs all discovered patterns with their locations. Returns list of identified patterns with file paths and pattern types. Helpful for understanding design sophistication and recognizing reusable design solutions in the code."
mirror_vanisher_dev,chunk_file,"Break down and divide a large source code file into smaller, manageable, overlapping chunks for analysis or processing. Use this when you need to handle files that exceed context window limits, process large files in smaller pieces, analyze specific sections of very long files, work with files over 500-1000 lines, or prepare code for chunk-by-chunk review. Splits file by lines with configurable chunk size and overlap, creates sequential chunks with line number tracking, ensures context preservat","Break down and divide a large source code file into smaller, manageable, overlapping chunks for analysis or processing. Use this when you need to handle files that exceed context window limits, process large files in smaller pieces, analyze specific sections of very long files, work with files over 500-1000 lines, or prepare code for chunk-by-chunk review. Splits file by lines with configurable chunk size and overlap, creates sequential chunks with line number tracking, ensures context preservation through overlap, and maintains readability. Returns array of chunks with chunk numbers, start/end line numbers, line counts, and full content for each chunk. Configurable chunk size (default 100 lines) and overlap (default 10 lines) allow flexible chunking strategies. Essential for handling large codebases that don't fit in single context windows."
